Time (s),Channel 1 (V)
0.2365,-0.273087
0.23675,-0.298919
0.237,-0.325136
0.23725,-0.343608
0.2375,-0.362753
0.23775,-0.371037
0.238,-0.372492
0.23825,-0.365534
0.2385,-0.353677
0.23875,-0.336887
0.239,-0.311406
0.23925,-0.280408
0.2395,-0.250804
0.23975,-0.21067
0.24,-0.170555
0.24025,-0.131224
0.2405,-0.0937354
0.24075,-0.0670781
0.241,-0.0335814
0.24125,-0.00726497
0.2415,0.0150677
0.24175,0.0192229
0.242,0.0255601
0.24225,0.0218493
0.2425,0.0141967
0.24275,0.0010134
0.243,-0.014892
0.24325,-0.0438377
0.2435,-0.0640848
0.24375,-0.0967254
0.244,-0.118376
0.24425,-0.149974
0.2445,-0.166242
0.24475,-0.187395
0.245,-0.205905
0.24525,-0.220588
0.2455,-0.231506
0.24575,-0.233335
0.246,-0.231275
0.24625,-0.228117
0.2465,-0.22456
0.24675,-0.218053
0.247,-0.223002
0.24725,-0.211553
0.2475,-0.220103
0.24775,-0.223143
0.248,-0.225048
0.24825,-0.239122
0.2485,-0.246188
0.24875,-0.273611
0.249,-0.293232
0.24925,-0.31412
0.2495,-0.338776
0.24975,-0.365903
0.25,-0.398417
0.25025,-0.423027
0.2505,-0.442127
0.25075,-0.456724
0.251,-0.46616
0.25125,-0.467518
0.2515,-0.461941
0.25175,-0.456779
0.252,-0.442023
0.25225,-0.412182
0.2525,-0.385476
0.25275,-0.357115
0.253,-0.318361
0.25325,-0.275302
0.2535,-0.235474
0.25375,-0.19837
0.254,-0.163679
0.25425,-0.129237
0.2545,-0.102088
0.25475,-0.0751502
0.255,-0.0607302
0.25525,-0.0569878
0.2555,-0.0541298
0.25575,-0.0638017
0.256,-0.0744874
0.25625,-0.0910113
0.2565,-0.112251
0.25675,-0.139694
0.257,-0.163945
0.25725,-0.185907
0.2575,-0.216515
0.25775,-0.237197
0.258,-0.259866
0.25825,-0.274767
0.2585,-0.289481
0.25875,-0.289575
0.259,-0.302315
0.25925,-0.302616
0.2595,-0.296953
0.25975,-0.298301
0.26,-0.286009
0.26025,-0.28372
0.2605,-0.280198
0.26075,-0.278647
0.261,-0.282338
0.26125,-0.279535
0.2615,-0.293529
0.26175,-0.30521
0.262,-0.317512
0.26225,-0.343032
0.2625,-0.366144
0.26275,-0.383643
0.263,-0.414157
0.26325,-0.436485
0.2635,-0.463513
0.26375,-0.481604
0.264,-0.501424
0.26425,-0.51152
0.2645,-0.513906
0.26475,-0.516173
0.265,-0.504563
0.26525,-0.48487
0.2655,-0.465181
0.26575,-0.440327
0.266,-0.40258
0.26625,-0.370261
0.2665,-0.326723
0.26675,-0.284278
0.267,-0.243442
0.26725,-0.206909
0.2675,-0.176445
0.26775,-0.144604
0.268,-0.123987
0.26825,-0.105297
0.2685,-0.0909876
0.26875,-0.0847514
0.269,-0.0883666
0.26925,-0.0996042
0.2695,-0.114817
0.26975,-0.133476
0.27,-0.154301
0.27025,-0.172874
0.2705,-0.199265
0.27075,-0.225042
0.271,-0.250262
0.27125,-0.272094
0.2715,-0.284321
0.27175,-0.297008
0.272,-0.307947
0.27225,-0.315026
0.2725,-0.319962
0.27275,-0.309297
0.273,-0.305337
0.27325,-0.305323
0.2735,-0.294225
0.27375,-0.295428
0.274,-0.288302
0.27425,-0.286657
0.2745,-0.288147
0.27475,-0.293121
0.275,-0.30321
0.27525,-0.32274
0.2755,-0.338381
0.27575,-0.359999
0.276,-0.384291
0.27625,-0.402119
0.2765,-0.432246
0.27675,-0.450206
0.277,-0.46989
0.27725,-0.493918
0.2775,-0.503145
0.27775,-0.513761
0.278,-0.514387
0.27825,-0.507674
0.2785,-0.484106
0.27875,-0.467408
0.279,-0.444248
0.27925,-0.405825
0.2795,-0.367602
0.27975,-0.325407
0.28,-0.292238
0.28025,-0.248373
0.2805,-0.204604
0.28075,-0.16956
0.281,-0.139331
0.28125,-0.107444
0.2815,-0.0865429
0.28175,-0.0734185
0.282,-0.0619249
0.28225,-0.0642337
0.2825,-0.072355
0.28275,-0.0815272
0.283,-0.101159
0.28325,-0.124255
0.2835,-0.14351
0.28375,-0.1668
0.284,-0.189059
0.28425,-0.217578
0.2845,-0.2387
0.28475,-0.253735
0.285,-0.269362
0.28525,-0.270831
0.2855,-0.281759
0.28575,-0.283296
0.286,-0.277416
0.28625,-0.275306
0.2865,-0.271427
0.28675,-0.267265
0.287,-0.260944
0.28725,-0.255135
0.2875,-0.252763
0.28775,-0.247863
0.288,-0.250106
0.28825,-0.260607
0.2885,-0.273936
0.28875,-0.285917
0.289,-0.307666
0.28925,-0.324273
0.2895,-0.353989
0.28975,-0.376884
0.29,-0.404322
0.29025,-0.421349
0.2905,-0.441973
0.29075,-0.454686
0.291,-0.455657
0.29125,-0.458539
0.2915,-0.457768
0.29175,-0.441129
0.292,-0.421269
0.29225,-0.393607
0.2925,-0.364165
0.29275,-0.330729
0.293,-0.284789
0.29325,-0.241559
0.2935,-0.204611
0.29375,-0.157022
0.294,-0.12775
0.29425,-0.090397
0.2945,-0.0591282
0.29475,-0.0357798
0.295,-0.0123843
0.29525,-0.00771571
0.2955,-0.00534141
0.29575,-0.00954753
0.296,-0.0152945
0.29625,-0.0296309
0.2965,-0.0445916
0.29675,-0.0681989
0.297,-0.0971559
0.29725,-0.121277
0.2975,-0.137289
0.29775,-0.164229
0.298,-0.174676
0.29825,-0.190659
0.2985,-0.199336
0.29875,-0.212811
0.299,-0.210799
0.29925,-0.212983
0.2995,-0.205597
0.29975,-0.19951
0.3,-0.187202
0.30025,-0.183655
0.3005,-0.177644
0.30075,-0.17773
0.301,-0.172127
0.30125,-0.176001
0.3015,-0.178042
0.30175,-0.185391
0.302,-0.204221
0.30225,-0.22352
0.3025,-0.242373
0.30275,-0.265587
0.303,-0.292243
0.30325,-0.310213
0.3035,-0.329274
0.30375,-0.346961
0.304,-0.362725
0.30425,-0.378915
0.3045,-0.378633
0.30475,-0.377777
0.305,-0.358539
0.30525,-0.349631
0.3055,-0.316114
0.30575,-0.29274
0.306,-0.253128
0.30625,-0.214551
0.3065,-0.178274
0.30675,-0.126308
0.307,-0.0854188
0.30725,-0.0435459
0.3075,-0.0141696
0.30775,0.025989
0.308,0.0461736
0.30825,0.0688976
0.3085,0.0861759
0.30875,0.0885969
0.309,0.0903202
0.30925,0.0815749
0.3095,0.0650626
0.30975,0.0497731
0.31,0.0297774
0.31025,0.00690248
0.3105,-0.0186695
0.31075,-0.0354222
0.311,-0.0567421
0.31125,-0.0745047
0.3115,-0.0949856
0.31175,-0.103717
0.312,-0.110856
0.31225,-0.119618
0.3125,-0.115236
0.31275,-0.109378
0.313,-0.10108
0.31325,-0.103003
0.3135,-0.0909005
0.31375,-0.0816648
0.314,-0.0803432
0.31425,-0.0797073
0.3145,-0.0787199
0.31475,-0.0827801
0.315,-0.0895427
0.31525,-0.102147
0.3155,-0.118281
0.31575,-0.137487
0.316,-0.161069
0.31625,-0.182742
0.3165,-0.209174
0.31675,-0.223094
0.317,-0.24662
0.31725,-0.266376
0.3175,-0.27072
0.31775,-0.274457
0.318,-0.279284
0.31825,-0.268024
0.3185,-0.252281
0.31875,-0.233186
0.319,-0.205755
0.31925,-0.168229
0.3195,-0.130843
0.31975,-0.0871148
0.32,-0.0419413
0.32025,0.000621846
0.3205,0.040748
0.32075,0.0811685
0.321,0.10915
0.32125,0.143506
0.3215,0.163728
0.32175,0.173121
0.322,0.180978
0.32225,0.184544
0.3225,0.185679
0.32275,0.169472
0.323,0.152352
0.32325,0.132064
0.3235,0.112916
0.32375,0.0874346
0.324,0.0655517
0.32425,0.0463609
0.3245,0.0240537
0.32475,0.00455007
0.325,-0.00283577
0.32525,-0.0112071
0.3255,-0.014188
0.32575,-0.0205545
0.326,-0.0140439
0.32625,-0.00675791
0.3265,-0.00344739
0.32675,0.00744975
0.327,0.0125329
0.32725,0.0201395
0.3275,0.0205008
0.32775,0.0233401
0.328,0.0226973
0.32825,0.0156634
0.3285,0.0025596
0.32875,-0.0136159
0.329,-0.0322318
0.32925,-0.0573922
0.3295,-0.0747162
0.32975,-0.104558
0.33,-0.123529
0.33025,-0.148
0.3305,-0.161393
0.33075,-0.178012
0.331,-0.184562
0.33125,-0.185298
0.3315,-0.174907
0.33175,-0.161128
0.332,-0.146054
0.33225,-0.122649
0.3325,-0.0864956
0.33275,-0.0456594
0.333,-0.0102532
0.33325,0.0352683
0.3335,0.0780496
0.33375,0.114055
0.334,0.160179
0.33425,0.192764
0.3345,0.219501
0.33475,0.246733
0.335,0.258869
0.33525,0.274614
0.3355,0.275184
0.33575,0.277942
0.336,0.261666
0.33625,0.250323
0.3365,0.233994
0.33675,0.205927
0.337,0.185277
0.33725,0.160958
0.3375,0.144071
0.33775,0.116222
0.338,0.103005
0.33825,0.0832489
0.3385,0.0781795
0.33875,0.0753405
0.339,0.0729966
0.33925,0.0660927
0.3395,0.0740698
0.33975,0.076933
0.34,0.0837994
